call_id,timestamp,rep_name,handle_time,wait_time,call_type,outcome
35,2025-11-01 11:39:00,Dana E,6.77,1.75,Billing,Dropped
36,2025-11-01 15:03:00,Alice B,1.6,0.5,Billing,Resolved
37,2025-11-01 14:45:00,Bob C,9.41,3.04,Support,Resolved
38,2025-11-01 10:13:00,Eli F,6.16,8.54,Billing,Escalated
39,2025-11-01 14:15:00,Fiona G,7.65,1.86,Support,Escalated
40,2025-11-01 10:12:00,Bob C,5.78,1.03,Support,Escalated
41,2025-11-01 08:45:00,Ian J,8.29,1.89,Support,Escalated
42,2025-11-01 10:07:00,Ian J,7.33,1.98,Support,Resolved
43,2025-11-01 15:01:00,Charlie D,7.03,6.48,Billing,Dropped
44,2025-11-01 13:43:00,Eli F,3.44,1.71,Sales,Resolved
45,2025-11-01 15:47:00,Bob C,3.06,4.28,Sales,Escalated
46,2025-11-01 12:37:00,Julia K,7.47,2.5,Billing,Dropped
47,2025-11-01 15:03:00,George H,4.34,2.78,Billing,Dropped
48,2025-11-01 11:31:00,Bob C,6.28,0.77,Billing,Dropped
49,2025-11-01 10:21:00,Julia K,3.77,0.8,Billing,Escalated
50,2025-11-01 14:06:00,George H,4.3,2.16,Billing,Resolved
51,2025-11-01 11:16:00,Eli F,8.04,0.23,Sales,Escalated
52,2025-11-01 13:14:00,Fiona G,4.79,2.62,Support,Escalated
53,2025-11-01 10:57:00,Eli F,2.23,0.37,Billing,Resolved
54,2025-11-01 09:14:00,Charlie D,5.39,7.64,Support,Resolved
55,2025-11-01 11:50:00,Fiona G,3.9,0.22,Support,Escalated
56,2025-11-01 09:43:00,Bob C,6.95,1.02,Billing,Resolved
57,2025-11-01 14:59:00,Ian J,4.37,1.33,Billing,Dropped
58,2025-11-01 08:44:00,Alice B,3.19,0.17,Sales,Dropped
59,2025-11-01 15:40:00,Bob C,6.36,1.72,Sales,Escalated
60,2025-11-01 15:21:00,Bob C,4.25,11.85,Billing,Resolved
61,2025-11-01 12:39:00,Hannah I,3.03,0.7,Sales,Resolved
62,2025-11-01 12:57:00,Charlie D,5.59,0.36,Support,Resolved
63,2025-11-01 14:43:00,Bob C,2.17,1.62,Billing,Escalated
64,2025-11-01 12:40:00,George H,6.2,0.72,Billing,Dropped
65,2025-11-01 12:59:00,Dana E,5.62,2.98,Sales,Resolved
66,2025-11-01 11:57:00,Hannah I,4.45,0.55,Billing,Escalated
67,2025-11-01 08:06:00,Eli F,3.1,2.09,Billing,Resolved
68,2025-11-01 08:27:00,Ian J,4.62,1.42,Support,Resolved
69,2025-11-01 10:27:00,Julia K,6.08,2.24,Sales,Dropped
70,2025-11-01 13:31:00,Alice B,4.93,5.33,Support,Escalated
71,2025-11-01 09:11:00,Julia K,7.03,1.87,Support,Escalated
72,2025-11-01 15:08:00,Charlie D,2.84,5.59,Sales,Escalated
73,2025-11-01 12:46:00,George H,5.19,0.49,Sales,Dropped
74,2025-11-01 08:15:00,Alice B,9.37,2.1,Support,Resolved
75,2025-11-01 14:45:00,Eli F,2.82,0.85,Sales,Escalated
76,2025-11-01 09:47:00,Eli F,2.08,0.06,Support,Escalated
77,2025-11-01 09:20:00,Hannah I,4.93,0.97,Sales,Dropped
78,2025-11-01 09:14:00,Julia K,7.35,0.1,Sales,Escalated
79,2025-11-01 11:16:00,Julia K,6.83,0.85,Billing,Escalated
80,2025-11-01 14:02:00,George H,1.94,0.03,Support,Dropped
81,2025-11-01 12:26:00,Alice B,5.49,8.33,Sales,Escalated
82,2025-11-01 11:12:00,Dana E,2.46,1.43,Billing,Dropped
83,2025-11-01 14:16:00,Julia K,5.21,3.37,Sales,Escalated
84,2025-11-01 09:54:00,Alice B,4.83,0.02,Billing,Dropped
85,2025-11-01 08:03:00,Julia K,3.17,1.0,Support,Escalated
86,2025-11-01 09:17:00,George H,2.88,0.9,Support,Dropped
87,2025-11-01 08:43:00,Eli F,5.81,1.47,Sales,Resolved
88,2025-11-01 08:31:00,Hannah I,3.25,1.15,Billing,Resolved
89,2025-11-01 14:18:00,Ian J,5.71,1.96,Support,Resolved
90,2025-11-01 11:03:00,Eli F,4.25,1.49,Support,Resolved
91,2025-11-01 15:57:00,Bob C,1.12,1.11,Billing,Resolved
92,2025-11-01 09:20:00,Alice B,5.26,7.88,Sales,Dropped
93,2025-11-01 08:01:00,Eli F,2.59,0.27,Sales,Resolved
94,2025-11-01 14:54:00,Ian J,3.27,2.58,Sales,Escalated
95,2025-11-01 12:42:00,Hannah I,6.35,1.82,Billing,Resolved
96,2025-11-02 11:03:00,George H,6.4,0.84,Support,Escalated
97,2025-11-02 12:19:00,Bob C,4.77,2.25,Billing,Escalated
98,2025-11-02 08:24:00,Eli F,7.37,7.36,Support,Dropped
99,2025-11-02 09:47:00,Alice B,4.57,0.46,Billing,Dropped
100,2025-11-02 09:58:00,Charlie D,5.18,1.87,Billing,Escalated
101,2025-11-02 08:38:00,Julia K,4.24,2.92,Billing,Escalated
102,2025-11-02 10:22:00,Ian J,5.26,0.23,Billing,Dropped
103,2025-11-02 08:39:00,Hannah I,6.12,1.46,Support,Escalated
104,2025-11-02 11:48:00,Hannah I,6.72,0.57,Billing,Escalated
105,2025-11-02 10:26:00,George H,4.07,1.86,Support,Escalated
106,2025-11-02 08:56:00,Hannah I,3.02,0.01,Support,Resolved
107,2025-11-02 15:49:00,Fiona G,2.32,1.48,Sales,Dropped
108,2025-11-02 10:41:00,Julia K,4.84,1.79,Billing,Resolved
109,2025-11-02 08:19:00,Ian J,4.25,5.58,Sales,Escalated
110,2025-11-02 14:32:00,Hannah I,4.81,0.47,Sales,Resolved
111,2025-11-02 08:31:00,Dana E,7.53,0.13,Billing,Resolved
112,2025-11-02 12:41:00,George H,2.82,0.99,Billing,Escalated
113,2025-11-02 11:23:00,Fiona G,7.2,4.45,Billing,Dropped
114,2025-11-02 10:20:00,Dana E,6.47,3.27,Sales,Resolved
115,2025-11-02 15:46:00,Ian J,7.74,1.8,Billing,Escalated
116,2025-11-02 15:50:00,Eli F,5.09,3.5,Sales,Dropped
117,2025-11-02 09:23:00,Fiona G,5.18,1.25,Support,Escalated
118,2025-11-02 08:08:00,Alice B,4.53,3.02,Billing,Escalated
119,2025-11-02 09:59:00,Julia K,5.02,0.86,Billing,Resolved
120,2025-11-02 08:17:00,Dana E,4.13,2.11,Support,Dropped
121,2025-11-02 15:32:00,Julia K,7.24,2.35,Support,Dropped
122,2025-11-02 08:31:00,Alice B,5.06,0.81,Support,Dropped
123,2025-11-02 15:51:00,Hannah I,7.31,0.99,Sales,Resolved
124,2025-11-02 12:30:00,Bob C,5.18,0.81,Support,Dropped
125,2025-11-02 10:39:00,Dana E,4.86,0.01,Sales,Resolved
126,2025-11-02 15:12:00,Bob C,6.99,6.73,Billing,Dropped
127,2025-11-02 10:30:00,Eli F,4.55,1.27,Sales,Escalated
128,2025-11-02 12:33:00,Dana E,3.19,0.55,Billing,Escalated
129,2025-11-02 09:04:00,Dana E,5.31,2.04,Billing,Dropped
130,2025-11-02 14:21:00,Julia K,1.6,0.19,Support,Escalated
131,2025-11-02 12:50:00,Ian J,4.36,0.17,Support,Escalated
132,2025-11-02 08:51:00,Ian J,6.94,0.95,Sales,Dropped
133,2025-11-02 12:47:00,Charlie D,4.24,0.56,Billing,Dropped
134,2025-11-02 12:23:00,Bob C,4.05,3.16,Support,Resolved
135,2025-11-02 09:29:00,Alice B,4.71,2.75,Sales,Dropped
136,2025-11-02 13:26:00,Julia K,5.1,0.7,Billing,Resolved
137,2025-11-02 14:45:00,Hannah I,8.01,0.6,Billing,Resolved
138,2025-11-02 12:14:00,Ian J,2.97,0.31,Sales,Dropped
139,2025-11-02 12:30:00,Julia K,2.86,0.22,Sales,Resolved
140,2025-11-02 13:14:00,Eli F,6.04,0.21,Billing,Escalated
141,2025-11-02 13:03:00,Eli F,2.63,0.64,Billing,Resolved
142,2025-11-02 10:02:00,Ian J,2.64,0.71,Support,Resolved
143,2025-11-02 09:34:00,Ian J,3.61,0.05,Billing,Escalated
144,2025-11-02 14:12:00,Dana E,8.37,0.28,Sales,Resolved
145,2025-11-02 10:20:00,Dana E,2.35,1.03,Support,Escalated
146,2025-11-02 13:07:00,Alice B,9.83,0.37,Support,Escalated
147,2025-11-02 13:25:00,Alice B,2.83,0.07,Support,Dropped
148,2025-11-02 08:34:00,Charlie D,4.15,1.22,Sales,Escalated
149,2025-11-02 15:23:00,Alice B,2.82,2.63,Support,Dropped
150,2025-11-02 11:49:00,Dana E,4.91,4.25,Billing,Escalated
151,2025-11-02 13:13:00,Charlie D,5.25,0.47,Sales,Resolved
152,2025-11-02 13:36:00,Dana E,2.22,0.58,Sales,Dropped
153,2025-11-02 10:06:00,Ian J,3.0,0.23,Support,Dropped
154,2025-11-02 09:50:00,Hannah I,7.31,0.37,Support,Escalated
155,2025-11-02 10:19:00,Julia K,1.35,0.44,Billing,Resolved
156,2025-11-02 15:32:00,Eli F,3.71,0.63,Sales,Resolved
157,2025-11-02 10:49:00,Hannah I,2.51,2.51,Support,Dropped
158,2025-11-02 09:19:00,Charlie D,6.42,5.87,Sales,Dropped
159,2025-11-02 13:06:00,Julia K,3.62,9.15,Support,Escalated
160,2025-11-02 08:20:00,Dana E,4.9,1.33,Sales,Resolved
161,2025-11-02 11:10:00,Dana E,3.45,2.91,Sales,Escalated
162,2025-11-02 13:14:00,Hannah I,2.41,1.01,Support,Dropped
163,2025-11-02 10:03:00,Dana E,4.5,2.74,Billing,Escalated
164,2025-11-02 15:04:00,Charlie D,8.06,0.32,Billing,Escalated
165,2025-11-02 13:29:00,Ian J,5.95,3.0,Support,Resolved
166,2025-11-02 15:52:00,Alice B,3.4,2.86,Billing,Resolved
167,2025-11-02 15:31:00,Charlie D,6.9,3.26,Sales,Escalated
168,2025-11-02 15:20:00,Dana E,7.25,0.3,Support,Resolved
169,2025-11-02 11:51:00,Ian J,6.35,0.23,Billing,Resolved
170,2025-11-02 10:30:00,George H,5.21,1.0,Support,Dropped
171,2025-11-02 14:40:00,George H,4.12,1.5,Sales,Dropped
172,2025-11-02 14:03:00,George H,4.72,1.74,Sales,Dropped
173,2025-11-02 15:29:00,Julia K,5.59,1.11,Billing,Resolved
174,2025-11-02 09:07:00,Ian J,6.54,5.17,Sales,Resolved
175,2025-11-02 08:21:00,Alice B,7.01,1.01,Sales,Escalated
176,2025-11-02 15:42:00,Fiona G,9.73,4.46,Sales,Escalated
177,2025-11-02 10:28:00,Bob C,3.36,0.73,Support,Dropped
178,2025-11-02 15:42:00,Bob C,8.21,2.95,Support,Escalated
179,2025-11-02 15:48:00,Hannah I,6.28,1.74,Billing,Dropped
180,2025-11-02 10:43:00,Dana E,5.21,7.0,Billing,Escalated
181,2025-11-02 14:38:00,Hannah I,3.12,1.16,Sales,Resolved
182,2025-11-02 15:51:00,George H,7.53,0.36,Support,Dropped
183,2025-11-02 13:04:00,Alice B,6.47,1.93,Sales,Escalated
184,2025-11-02 12:16:00,Julia K,7.34,0.2,Billing,Dropped
185,2025-11-02 10:33:00,Charlie D,3.95,2.25,Sales,Dropped
186,2025-11-02 09:07:00,Alice B,2.63,0.36,Sales,Resolved
187,2025-11-02 09:36:00,Julia K,2.9,0.31,Support,Dropped
188,2025-11-02 08:40:00,Fiona G,6.59,0.71,Billing,Dropped
189,2025-11-02 08:39:00,Hannah I,1.17,2.63,Sales,Dropped
190,2025-11-02 13:05:00,Dana E,4.63,0.56,Support,Escalated
191,2025-11-02 11:46:00,Alice B,7.93,2.79,Sales,Resolved
192,2025-11-02 08:13:00,Hannah I,7.64,3.51,Support,Dropped
193,2025-11-02 10:03:00,George H,6.32,3.2,Sales,Resolved
194,2025-11-02 12:40:00,Julia K,5.06,2.65,Sales,Dropped
195,2025-11-02 11:57:00,Charlie D,6.73,1.44,Billing,Escalated
196,2025-11-02 14:16:00,Charlie D,5.63,2.37,Billing,Resolved
197,2025-11-02 15:55:00,Bob C,3.94,3.53,Billing,Resolved
198,2025-11-02 15:13:00,Dana E,8.12,3.66,Billing,Resolved
199,2025-11-02 09:24:00,Fiona G,5.32,0.89,Sales,Dropped
200,2025-11-02 09:51:00,Bob C,5.52,3.83,Sales,Dropped
201,2025-11-02 12:52:00,Eli F,5.04,1.36,Support,Escalated
202,2025-11-02 09:47:00,Fiona G,2.29,2.58,Billing,Escalated
203,2025-11-02 09:19:00,Bob C,7.65,1.58,Billing,Escalated
204,2025-11-02 12:41:00,Julia K,4.88,0.13,Support,Resolved
205,2025-11-03 10:38:00,Charlie D,6.11,2.12,Support,Resolved
206,2025-11-03 11:27:00,Charlie D,4.45,1.12,Billing,Escalated
207,2025-11-03 14:59:00,Charlie D,4.34,0.83,Sales,Dropped
208,2025-11-03 12:14:00,George H,4.52,1.52,Billing,Dropped
209,2025-11-03 08:36:00,Eli F,4.26,2.1,Support,Escalated
210,2025-11-03 15:12:00,Hannah I,5.83,0.86,Support,Resolved
211,2025-11-03 14:54:00,Julia K,7.8,0.05,Support,Resolved
212,2025-11-03 10:48:00,Hannah I,5.52,2.98,Billing,Escalated
213,2025-11-03 09:21:00,Hannah I,5.65,1.99,Support,Escalated
214,2025-11-03 13:07:00,George H,3.53,0.47,Support,Resolved
215,2025-11-03 08:33:00,George H,5.94,0.7,Billing,Resolved
216,2025-11-03 11:14:00,Julia K,8.89,1.02,Support,Escalated
217,2025-11-03 10:59:00,George H,4.57,4.73,Sales,Dropped
218,2025-11-03 14:07:00,Hannah I,4.62,1.28,Billing,Escalated
219,2025-11-03 08:04:00,George H,4.2,3.86,Support,Dropped
220,2025-11-03 14:45:00,Eli F,4.99,0.95,Billing,Escalated
221,2025-11-03 12:51:00,Dana E,6.91,2.95,Support,Dropped
222,2025-11-03 14:35:00,Dana E,1.18,0.59,Support,Resolved
223,2025-11-03 14:40:00,Julia K,5.02,0.52,Billing,Resolved
224,2025-11-03 14:45:00,Dana E,5.78,1.02,Support,Resolved
225,2025-11-03 12:11:00,George H,7.55,0.11,Billing,Resolved
226,2025-11-03 11:01:00,Hannah I,3.87,1.91,Support,Resolved
227,2025-11-03 11:42:00,Charlie D,4.36,1.81,Sales,Dropped
228,2025-11-03 15:17:00,Ian J,4.31,2.24,Sales,Escalated
229,2025-11-03 11:00:00,Hannah I,6.66,3.44,Billing,Resolved
230,2025-11-03 11:35:00,Julia K,6.61,0.92,Support,Resolved
231,2025-11-03 13:19:00,Julia K,3.47,0.33,Sales,Escalated
232,2025-11-03 10:22:00,Charlie D,2.44,0.6,Support,Resolved
233,2025-11-03 13:03:00,Alice B,6.82,3.06,Billing,Resolved
234,2025-11-03 12:59:00,Fiona G,7.43,3.42,Sales,Dropped
235,2025-11-03 10:46:00,Alice B,2.4,0.34,Sales,Dropped
236,2025-11-03 09:11:00,Fiona G,6.27,4.73,Sales,Dropped
237,2025-11-03 11:07:00,Julia K,9.59,0.61,Sales,Escalated
238,2025-11-03 15:04:00,Hannah I,4.26,3.73,Billing,Dropped
239,2025-11-03 08:51:00,George H,2.08,0.3,Sales,Escalated
240,2025-11-03 14:01:00,Dana E,5.75,4.16,Sales,Escalated
241,2025-11-03 11:57:00,Julia K,8.14,0.57,Support,Resolved
242,2025-11-03 11:58:00,Alice B,6.18,1.37,Sales,Escalated
243,2025-11-03 14:59:00,Dana E,4.14,1.88,Support,Escalated
244,2025-11-03 13:27:00,Ian J,4.03,2.3,Billing,Escalated
245,2025-11-03 08:11:00,Eli F,7.11,3.42,Support,Dropped
246,2025-11-03 14:53:00,Alice B,3.41,0.94,Sales,Dropped
247,2025-11-03 14:48:00,Alice B,6.72,1.0,Billing,Resolved
248,2025-11-03 09:42:00,Bob C,1.71,0.79,Sales,Resolved
249,2025-11-03 13:20:00,Fiona G,6.33,0.35,Sales,Escalated
250,2025-11-03 14:18:00,Hannah I,3.81,1.64,Sales,Dropped
251,2025-11-03 12:21:00,Alice B,4.53,2.9,Support,Escalated
252,2025-11-03 14:09:00,Bob C,2.81,0.9,Billing,Dropped
253,2025-11-03 10:03:00,George H,4.19,0.22,Billing,Resolved
254,2025-11-03 10:34:00,Ian J,7.18,0.03,Billing,Escalated
255,2025-11-03 15:43:00,Hannah I,4.84,0.3,Support,Resolved
256,2025-11-03 15:03:00,Dana E,4.91,2.55,Sales,Resolved
257,2025-11-03 11:12:00,Bob C,5.25,1.7,Billing,Escalated
258,2025-11-03 10:26:00,Fiona G,3.0,0.69,Support,Escalated
259,2025-11-03 15:13:00,Eli F,3.51,1.2,Sales,Dropped
260,2025-11-03 11:12:00,Fiona G,8.43,0.28,Billing,Dropped
261,2025-11-03 12:29:00,Hannah I,5.31,0.5,Support,Resolved
262,2025-11-03 09:50:00,Julia K,2.01,0.47,Support,Resolved
263,2025-11-03 10:08:00,George H,4.13,1.27,Support,Resolved
264,2025-11-03 13:39:00,Ian J,8.06,1.55,Billing,Escalated
265,2025-11-03 13:27:00,Ian J,1.0,0.35,Billing,Resolved
266,2025-11-03 13:40:00,George H,4.89,2.46,Support,Dropped
267,2025-11-03 08:43:00,Eli F,1.88,4.46,Billing,Resolved
268,2025-11-03 14:05:00,Julia K,6.84,1.99,Billing,Resolved
269,2025-11-03 09:06:00,Charlie D,3.8,3.01,Sales,Dropped
270,2025-11-03 12:37:00,George H,4.21,0.81,Billing,Dropped
271,2025-11-03 14:25:00,Ian J,3.86,0.48,Sales,Escalated
272,2025-11-03 14:43:00,Ian J,5.71,2.76,Support,Dropped
273,2025-11-03 15:38:00,George H,4.72,0.82,Sales,Resolved
274,2025-11-03 13:31:00,Ian J,5.94,2.73,Sales,Escalated
275,2025-11-03 11:52:00,Alice B,3.09,0.83,Support,Dropped
276,2025-11-03 08:47:00,George H,3.23,3.22,Sales,Escalated
277,2025-11-03 14:39:00,George H,6.27,1.54,Sales,Dropped
278,2025-11-03 09:25:00,Eli F,5.43,0.51,Sales,Dropped
279,2025-11-03 14:59:00,Eli F,6.44,7.6,Sales,Escalated
280,2025-11-03 12:13:00,Bob C,5.65,0.19,Sales,Dropped
281,2025-11-03 08:07:00,Julia K,3.1,0.32,Billing,Resolved
282,2025-11-03 09:24:00,Dana E,2.4,0.45,Sales,Escalated
283,2025-11-03 11:18:00,George H,3.61,4.3,Support,Resolved
284,2025-11-03 11:46:00,Ian J,1.9,3.77,Billing,Dropped
285,2025-11-03 11:26:00,Eli F,5.7,3.24,Sales,Escalated
286,2025-11-03 11:52:00,George H,6.72,2.3,Sales,Resolved
287,2025-11-03 15:28:00,Bob C,2.58,0.65,Sales,Dropped
288,2025-11-03 11:23:00,Ian J,5.63,0.63,Billing,Escalated
289,2025-11-03 09:57:00,Dana E,3.71,0.06,Sales,Resolved
290,2025-11-03 14:05:00,Charlie D,6.84,3.56,Sales,Dropped
291,2025-11-03 08:25:00,Charlie D,1.47,1.82,Support,Resolved
292,2025-11-03 10:31:00,Fiona G,6.97,2.13,Support,Resolved
293,2025-11-03 10:53:00,Julia K,3.3,0.14,Billing,Escalated
294,2025-11-03 13:35:00,George H,6.76,3.26,Billing,Escalated
295,2025-11-03 09:53:00,Charlie D,3.32,0.03,Billing,Dropped
296,2025-11-03 11:44:00,Alice B,3.34,1.08,Billing,Resolved
297,2025-11-04 13:01:00,Charlie D,1.37,1.02,Sales,Escalated
298,2025-11-04 15:25:00,Dana E,5.28,1.87,Support,Dropped
299,2025-11-04 15:58:00,Hannah I,5.47,3.24,Billing,Escalated
300,2025-11-04 12:27:00,Fiona G,5.12,2.36,Billing,Dropped
301,2025-11-04 10:23:00,Ian J,3.39,3.25,Billing,Resolved
302,2025-11-04 15:17:00,Ian J,4.02,5.19,Billing,Dropped
303,2025-11-04 10:17:00,Alice B,4.28,3.4,Sales,Escalated
304,2025-11-04 11:00:00,Bob C,7.55,1.81,Support,Dropped
305,2025-11-04 12:07:00,Charlie D,2.29,4.57,Support,Dropped
306,2025-11-04 15:36:00,Charlie D,6.39,0.0,Billing,Resolved
307,2025-11-04 09:40:00,Fiona G,3.62,4.69,Sales,Dropped
308,2025-11-04 15:19:00,Bob C,1.78,2.48,Sales,Escalated
309,2025-11-04 15:08:00,Fiona G,5.9,4.34,Billing,Dropped
310,2025-11-04 10:11:00,Hannah I,2.64,3.3,Billing,Escalated
311,2025-11-04 11:51:00,Charlie D,6.29,3.98,Billing,Escalated
312,2025-11-04 10:23:00,Bob C,4.27,0.52,Billing,Dropped
313,2025-11-04 09:26:00,Julia K,5.08,2.32,Billing,Resolved
314,2025-11-04 08:30:00,Charlie D,7.67,2.6,Billing,Dropped
315,2025-11-04 11:58:00,Dana E,6.36,0.19,Billing,Resolved
316,2025-11-04 13:37:00,Hannah I,7.2,1.89,Support,Escalated
317,2025-11-04 14:56:00,Eli F,4.5,3.02,Sales,Resolved
318,2025-11-04 13:37:00,Bob C,6.6,6.58,Support,Dropped
319,2025-11-04 14:07:00,Fiona G,6.47,9.89,Billing,Dropped
320,2025-11-04 09:23:00,Hannah I,3.52,0.05,Billing,Escalated
321,2025-11-04 15:10:00,Fiona G,2.13,2.84,Sales,Resolved
322,2025-11-04 14:06:00,Fiona G,5.16,0.33,Sales,Resolved
323,2025-11-04 14:45:00,Hannah I,6.45,2.05,Billing,Escalated
324,2025-11-04 10:44:00,Hannah I,7.45,1.85,Support,Dropped
325,2025-11-04 14:38:00,Bob C,5.1,0.74,Billing,Resolved
326,2025-11-04 08:07:00,Charlie D,5.04,5.6,Sales,Escalated
327,2025-11-04 15:02:00,Ian J,7.29,0.21,Sales,Dropped
328,2025-11-04 15:02:00,Hannah I,6.11,1.43,Billing,Resolved
329,2025-11-04 15:19:00,George H,7.52,3.9,Sales,Dropped
330,2025-11-04 09:45:00,Dana E,4.23,0.1,Billing,Dropped
331,2025-11-04 10:48:00,Bob C,3.77,1.65,Sales,Resolved
332,2025-11-04 11:31:00,George H,7.97,1.1,Sales,Dropped
333,2025-11-04 09:31:00,Charlie D,4.05,1.13,Billing,Resolved
334,2025-11-04 14:09:00,Hannah I,5.22,0.07,Support,Resolved
335,2025-11-04 13:09:00,George H,7.17,3.41,Sales,Dropped
336,2025-11-04 11:59:00,Julia K,3.73,0.5,Billing,Escalated
337,2025-11-04 10:33:00,Hannah I,6.09,2.71,Billing,Dropped
338,2025-11-04 10:31:00,Hannah I,7.11,1.25,Support,Resolved
339,2025-11-04 10:44:00,Alice B,6.38,3.28,Sales,Resolved
340,2025-11-04 10:05:00,Charlie D,3.46,0.32,Sales,Escalated
341,2025-11-04 10:06:00,Ian J,5.85,1.89,Billing,Dropped
342,2025-11-04 10:24:00,Ian J,3.08,1.34,Sales,Escalated
343,2025-11-04 15:01:00,Bob C,3.38,0.15,Sales,Dropped
344,2025-11-04 10:17:00,Bob C,5.81,1.13,Sales,Escalated
345,2025-11-04 13:35:00,Fiona G,5.9,3.19,Sales,Resolved
346,2025-11-04 09:14:00,Julia K,2.81,1.19,Sales,Dropped
347,2025-11-04 15:55:00,George H,3.7,0.28,Support,Escalated
348,2025-11-04 10:20:00,Fiona G,4.31,2.26,Support,Resolved
349,2025-11-04 14:59:00,Charlie D,6.72,4.42,Support,Resolved
350,2025-11-04 13:26:00,Dana E,2.49,0.31,Billing,Escalated
351,2025-11-04 10:16:00,Eli F,5.56,3.83,Support,Escalated
352,2025-11-04 08:21:00,Charlie D,4.49,1.63,Sales,Dropped
353,2025-11-04 08:06:00,Alice B,1.0,4.23,Sales,Escalated
354,2025-11-04 09:26:00,Ian J,1.0,1.52,Billing,Dropped
355,2025-11-04 11:15:00,George H,2.67,1.48,Billing,Escalated
356,2025-11-04 12:39:00,George H,4.82,3.9,Billing,Dropped
357,2025-11-04 08:45:00,Hannah I,4.99,6.73,Sales,Resolved
358,2025-11-04 14:23:00,Dana E,5.59,1.32,Billing,Dropped
359,2025-11-04 13:26:00,Alice B,3.1,3.29,Billing,Resolved
360,2025-11-04 12:30:00,Dana E,4.73,1.57,Sales,Escalated
361,2025-11-04 10:09:00,George H,3.05,0.31,Support,Resolved
362,2025-11-04 15:59:00,Julia K,1.0,4.88,Sales,Resolved
363,2025-11-04 15:22:00,Charlie D,6.21,0.12,Sales,Escalated
364,2025-11-04 09:07:00,Bob C,5.06,0.49,Sales,Resolved
365,2025-11-04 14:56:00,Bob C,5.59,3.6,Sales,Dropped
366,2025-11-04 11:29:00,Hannah I,3.81,0.53,Billing,Resolved
367,2025-11-04 15:32:00,George H,5.42,0.92,Sales,Escalated
368,2025-11-04 08:13:00,George H,6.83,0.6,Sales,Dropped
369,2025-11-04 13:17:00,Dana E,3.0,0.86,Support,Resolved
370,2025-11-04 08:09:00,George H,3.3,0.61,Billing,Resolved
371,2025-11-04 13:37:00,Bob C,2.61,5.6,Support,Resolved
372,2025-11-04 10:59:00,Dana E,5.94,1.42,Billing,Dropped
373,2025-11-04 11:36:00,Eli F,3.8,13.14,Sales,Escalated
374,2025-11-04 09:28:00,Hannah I,6.72,0.42,Support,Escalated
375,2025-11-04 15:24:00,Alice B,2.97,5.19,Sales,Dropped
376,2025-11-04 09:01:00,Ian J,6.95,0.35,Billing,Resolved
377,2025-11-04 14:14:00,Fiona G,7.05,0.81,Sales,Escalated
378,2025-11-04 14:41:00,Alice B,2.56,2.94,Sales,Escalated
379,2025-11-04 13:32:00,Alice B,6.6,1.16,Support,Resolved
